ClientCity,View_Timestamp,MenuVisited_Sessions,OrderCreated_Sessions,OrderCanceled_Sessions
Воронеж,2023-05-30,55669,9440,45
Чита,2023-05-30,55975,9542,58
Петропавловск-Камчатский,2023-05-30,29730,3924,24
Чебоксары,2023-05-30,75218,11487,64
Владивосток,2023-05-30,45074,7194,39
Биробиджан,2023-05-30,32030,3562,64
Мытищи,2023-05-30,38281,8330,78
Губкин,2023-05-30,15829,2197,13
Ликино-Дулёво,2023-05-30,9035,1605,12
Благовещенск,2023-05-30,83700,14297,97
Волжский (Волгоградская обл.),2023-05-30,24784,4543,29
Южно-Сахалинск,2023-05-30,56670,10235,64
Сыктывкар,2023-05-30,121890,19453,244
Комсомольск-на-Амуре,2023-05-30,118613,18333,154
Ухта,2023-05-30,54651,9691,35
Хабаровск,2023-05-30,106044,16614,88
Архангельск,2023-05-30,38941,6414,19
Москва,2023-05-30,1170763,253496,1160
Тюмень,2023-05-30,116468,26224,94
Корсаков,2023-05-30,9807,1871,32
Екатеринбург,2023-05-30,175826,42085,138
Братск,2023-05-30,43457,7384,118
Магадан,2023-05-30,60953,10498,149
Белогорск,2023-05-30,12853,1770,13
Якутск,2023-05-30,126380,20783,81
Пенза,2023-05-30,61118,10756,94
Зеленоград,2023-05-30,31890,5497,44
Краснодар,2023-05-30,171941,41826,257
Находка,2023-05-30,16650,3990,49
Иркутск,2023-05-30,59994,9602,149
Волгодонск,2023-05-30,16128,2581,10
Уссурийск,2023-05-30,27415,5518,49
Внуково,2023-05-30,7073,1506,4
Санкт-Петербург,2023-05-30,727778,131087,524
Апатиты,2023-05-30,20704,3287,7
Дзержинск,2023-05-30,15586,3527,17
Ульяновск,2023-05-30,136506,26380,170
Иваново,2023-05-30,22052,3987,32
Голубое,2023-05-30,5268,973,4
Саров,2023-05-30,13240,2576,13
Ачинск,2023-05-30,19385,2856,29
Новосибирск,2023-05-30,99147,15027,93
Кингисепп,2023-05-30,13771,2419,23
Курск,2023-05-30,25935,4901,25
Челябинск,2023-05-30,213905,49850,685
Азов,2023-05-30,11346,1580,14
Дмитров,2023-05-30,19166,3048,6
Геленджик,2023-05-30,20445,3233,21
Красноярск,2023-05-30,59576,11355,60
Ноябрьск,2023-05-30,33924,6945,16
Усолье-Сибирское,2023-05-30,12437,2285,40
Кемерово,2023-05-30,19836,3021,20
Томск,2023-05-30,54077,10137,46
Салехард,2023-05-30,25873,5839,13
Подольск,2023-05-30,25170,5343,48
Новороссийск,2023-05-30,44179,10712,60
Кореновск,2023-05-30,4987,806,9
Пермь,2023-05-30,100086,16387,80
Норильск,2023-05-30,56833,10789,37
Нижневартовск,2023-05-30,51822,12209,31
Стерлитамак,2023-05-30,16728,2856,24
Бузулук,2023-05-30,8583,1289,9
Тамбов,2023-05-30,35805,6098,38
Ростов-на-Дону,2023-05-30,107661,18087,86
Клин,2023-05-30,17725,3321,19
Набережные Челны,2023-05-30,24358,4575,19
Нефтекамск,2023-05-30,8114,1149,6
Калининград,2023-05-30,63514,14309,82
Пушкин,2023-05-30,15689,3040,15
Прокопьевск,2023-05-30,19107,2539,36
Улан-Удэ,2023-05-30,32358,6467,45
Торжок,2023-05-30,9316,1552,8
Анапа,2023-05-30,25282,4414,33
Балашиха,2023-05-30,42502,8525,33
Ногинск,2023-05-30,20150,3705,30
Когалым,2023-05-30,23194,4857,7
Казань,2023-05-30,155785,30505,104
Мирный (Архангельская обл.),2023-05-30,8401,1501,5
Тольятти,2023-05-30,79607,15145,99
Ступино,2023-05-30,10875,1895,8
Самара,2023-05-30,249627,51678,222
Саранск,2023-05-30,33296,6144,28
Саратов,2023-05-30,95459,21417,102
Таганрог,2023-05-30,33589,5718,41
Абакан,2023-05-30,16586,3184,13
Вологда,2023-05-30,36791,7755,75
Смоленск,2023-05-30,65510,11326,64
Великие Луки,2023-05-30,18516,2876,37
Домодедово,2023-05-30,26466,5570,22
