,Unnamed: 0,shipment_date,transit_wh_name,destination_wh_name,type,gmv_x,orders_x,route,route 1,gmv_mean,orders_mean,gmv_std,orders_std,gmv,orders
0,2,2024-01-02,Новосибирск,Электросталь,box,8800.0,1,Новосибирск -> Электросталь,Новосибирск - Электросталь,72837.06761565836,3.320284697508897,67599.74757898021,2.503693255704031,-0.9472974368852578,-0.9267447968007726
1,5,2024-01-02,Обухово,Краснодар (Тихорецкая),box,19500.0,2,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),510786.25,44.18292682926829,393277.00196236727,17.637890090405904,-1.2492117452802676,-2.39160844143221
2,6,2024-01-02,Обухово,Склад Казань,box,114000.0,6,Обухово -> Склад Казань,Обухово - Склад Казань,1307636.768292683,65.27743902439025,1091861.4770518974,59.15153796457243,-1.0932126404125786,-1.0021284494731688
3,7,2024-01-02,Обухово,Склад Казань,other,9500.0,1,Обухово -> Склад Казань,Обухово - Склад Казань,1307636.768292683,65.27743902439025,1091861.4770518974,59.15153796457243,-1.1889207519233513,-1.0866571053974603
4,8,2024-01-02,Подольск 4,Краснодар (Тихорецкая),box,36000.0,9,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),1559613.7163891993,134.93333333333334,832728.089030759,66.67111976997322,-1.8296653330892032,-1.8888738297455465
5,9,2024-01-02,Подольск 4,Невинномысск,box,6000.0,1,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,474683.25,33.357142857142854,468970.88643385307,33.098759882901504,-0.9993866646263688,-0.9775938123246194
6,13,2024-01-03,Минск Щомыслицкий,Коледино,box,12000.0,5,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,76546.93251533742,17.134969325153374,66379.63201229734,10.821512261348223,-0.9723906348769695,-1.121374631574969
7,14,2024-01-03,Минск Щомыслицкий,Коледино,other,8000.0,2,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,76546.93251533742,17.134969325153374,66379.63201229734,10.821512261348223,-1.032650083125477,-1.398600210361703
8,17,2024-01-03,Обухово,Краснодар (Тихорецкая),box,97500.0,5,Обухово -> Краснодар (Тихорецкая),Обухово - Краснодар (Тихорецкая),510786.25,44.18292682926829,393277.00196236727,17.637890090405904,-1.0508782561344572,-2.2215200700554183
9,18,2024-01-03,Обухово,Склад Казань,box,38000.0,4,Обухово -> Склад Казань,Обухово - Склад Казань,1307636.768292683,65.27743902439025,1091861.4770518974,59.15153796457243,-1.1628185396931405,-1.0359399118428854
10,19,2024-01-03,Подольск 4,Краснодар (Тихорецкая),box,108000.0,12,Подольск 4 -> Краснодар (Тихорецкая),Подольск 4 - Краснодар (Тихорецкая),1559613.7163891993,134.93333333333334,832728.089030759,66.67111976997322,-1.7432025357506347,-1.8438768353895119
11,20,2024-01-03,Подольск 4,Невинномысск,box,12000.0,2,Подольск 4 -> Невинномысск,Подольск 4 - Невинномысск,474683.25,33.357142857142854,468970.88643385307,33.098759882901504,-0.9865926934576569,-0.9473812000231963
12,22,2024-01-03,Тула,Невинномысск,box,12000.0,2,Тула -> Невинномысск,Тула - Невинномысск,126772.09090909091,11.868181818181819,123069.51628462067,11.081923508244875,-0.9325793614371536,-0.8904755398140006
13,25,2024-01-04,Минск Щомыслицкий,Коледино,box,28000.0,14,Минск Щомыслицкий -> Коледино,Минск Щомыслицкий - Коледино,76546.93251533742,17.134969325153374,66379.63201229734,10.821512261348223,-0.7313528418829397,-0.289697895214767
