utc_event_date,revenue_main
01/01/21,0
02/01/21,0
03/01/21,0
04/01/21,0
05/01/21,0
06/01/21,0
07/01/21,0
08/01/21,0
09/01/21,0
10/01/21,0
11/01/21,0
12/01/21,0
13/01/21,0
14/01/21,0
15/01/21,0
16/01/21,0
17/01/21,0
18/01/21,0
19/01/21,0
20/01/21,0
21/01/21,0
22/01/21,0
23/01/21,0
24/01/21,0
25/01/21,0
26/01/21,0
27/01/21,0
28/01/21,0
29/01/21,0
30/01/21,0
31/01/21,0
01/02/21,0
02/02/21,0
03/02/21,0
04/02/21,0
05/02/21,0
06/02/21,0
07/02/21,0
08/02/21,0
09/02/21,0
10/02/21,0
11/02/21,0
12/02/21,0
13/02/21,0
14/02/21,0
15/02/21,0
16/02/21,0
17/02/21,0
18/02/21,0
19/02/21,0
20/02/21,0
21/02/21,0
22/02/21,0
23/02/21,0
24/02/21,0
25/02/21,0
26/02/21,0
27/02/21,0
28/02/21,0
01/03/21,0
02/03/21,0
03/03/21,0
04/03/21,0
05/03/21,0
06/03/21,0
07/03/21,0
08/03/21,0
09/03/21,144
10/03/21,2858724.5759439995
11/03/21,5511103.657796999
12/03/21,5927380.144098997
13/03/21,5042468.8578550005
14/03/21,5388179.767084999
15/03/21,4934669.736125
16/03/21,6344198.094934996
17/03/21,6290705.631469996
18/03/21,6788944.082273001
19/03/21,8165331.324778992
20/03/21,7035116.616933999
21/03/21,5827581.232931001
22/03/21,7072798.475512001
23/03/21,7116632.144076998
24/03/21,6615370.952592002
25/03/21,9414193.646565994
26/03/21,6896071.313844997
27/03/21,6215506.228794998
28/03/21,6921101.321270999
29/03/21,9584739.689707004
30/03/21,8553145.180981003
31/03/21,7476431.983710997
01/04/21,8450675.814058995
02/04/21,7805937.5417
03/04/21,8399644.162697997
04/04/21,7011016.039074003
05/04/21,9425306.445006998
06/04/21,9194518.158386003
07/04/21,10567368.228556983
08/04/21,9202171.024508005
09/04/21,12914179.203282995
10/04/21,7644495.7921410035
11/04/21,7581796.456800998
12/04/21,7099813.967318998
13/04/21,10306493.347959
14/04/21,8257280.073836995
15/04/21,11497477.601244995
16/04/21,8357932.994103997
17/04/21,7256386.063282
18/04/21,8015735.542169001
